City No.,City_Name,Latitude,Longitude,size_rank,Area,population
4,Ahmedabad,23.02579,72.58727,1,505.00,8253000.00
161,Surat,21.17801,72.81189,2,461.60,6936534.00
186,Vadodara,22.29941,73.20812,3,454.33,5240522.00
147,Rajkot,22.33333,70.83333,4,170.00,1934000.00
20,Bhavnagar,21.76287,72.15331,5,108.27,712000.00
75,Jamnagar,22.47292,70.06673,6,125.67,711000.00
60,Gandhinagar,23.21667,72.68333,7,326.00,410323.00
78,Junagadh,21.25,70.33333,8,160.00,407000.00
62,Gandhidham,23.08333,70.13333,9,63.49,406000.00
9,Anand,22.4,72.75,10,47.89,385291.00
